7345,4
4223,2
1624,3
2337,3
4774,1
2801,2
7599,4
8374,3
6704,3
2618,2
8205,4
6079,3
5514,3
9694,1
8065,4
1215,3
6325,4
6882,1
1635,4
5230,3
9951,2
8238,1
8714,1
4360,2
9206,3
6486,2
6924,4
7035,2
6426,3
8805,4
8679,3
9397,2
9552,4
5648,1
1898,4
3229,3
2937,2
5828,3
9769,2
9019,4
6012,1
2406,2
2147,2
8517,2
5813,2
2381,4
5247,4
7878,1
6268,4
7653,1
2479,2
2470,3
7610,3
8407,2
3931,1
6644,3
7285,1
6396,3
7805,2
3366,2
1111,2
3994,4
5734,4
1737,4
9237,1
1511,4
9821,3
1950,2
3678,4
1331,2
7638,4
1029,1
7379,1
1830,4
6580,4
5157,2
1118,4
3636,4
7886,4
1923,2
9274,3
6206,2
7278,1
9304,1
7725,1
9881,1
2132,3
4861,2
7694,2
3849,1
1052,1
5358,1
2282,3
8043,1
5654,4
3294,3
2260,4
2748,2
4158,4
8117,1
5995,3
3141,3
5952,3
3562,2
5939,1
2567,3
2065,1
6120,3
6495,1
1453,1
7413,2
6163,2
5873,3
9134,3
5064,3
5680,1
8760,4
2619,2
1407,2
5552,1
8539,3
9820,2
4922,3
9015,2
7818,3
7427,3
5191,3
2168,2
8548,4
3584,4
7644,1
9016,2
9549,1
4208,4
4971,2
1638,3
4717,3
9059,1
3733,4
5645,4
8852,1
5588,2
7007,2
9473,2
5928,4
1464,4
1024,3
1716,1
9644,3
2369,2
5465,3
6655,1
7605,1
4194,3
3974,3
8104,2
3639,3
4785,2
8792,1
9033,1
1662,2
6047,2
4457,4
6352,4
2413,2
9441,4
5644,3
4292,1
3824,4
9766,4
9923,1
1247,4
9771,4
6462,4
1255,1
1603,1
7384,1
7323,2
6054,4
7025,4
3371,1
4385,3
1702,1
8522,1
3030,2
6723,2
7766,2
5698,1
7616,3
3347,4
3836,2
2663,3
9254,3
1951,1
6057,4
4690,1
5359,2
8908,2
8026,2
3360,3
3364,1
8443,4
7756,2
8179,4
3555,2
8932,3
9128,4
1664,1
3838,1
3714,1
3060,1
4920,3
6947,1
6582,4
7125,3
1093,1
2839,2
1188,4
4146,3
6741,4
7110,2
3905,3
6203,3
4458,2
5395,4
1425,2
5819,3
6379,3
9366,4
3688,3
8725,2
3868,4
4296,4
3180,1
4289,1
5502,3
3728,2
1257,4
4390,3
5871,1
9376,4
4113,3
2449,3
7470,3
6890,3
4711,3
1308,1
7854,2
8593,2
4797,2
1007,4
3687,3
8011,3
2613,2
4656,1
4486,4
8889,2
3134,4
2757,2
1158,2
7201,2
1832,1
1864,2
9703,4
3878,2
4949,2
4238,1
8064,2
7451,2
6925,1
8787,4
2023,1
5845,1
3644,3
3812,4
8790,1
2465,1
9575,4
6539,3
2958,2
3129,2
5519,3
8123,4
8845,3
4199,4
1119,2
9491,4
6128,2
1637,1
7498,2
5360,1
3272,4
4318,4
7925,1
6177,4
1077,3
4020,2
2738,1
9469,3
1395,4
3612,4
